code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.m.HOT,LONG,202108312110,3508,202108312115,3511,1,30,40,-10,-3.7,,,1,2
DCE.c.HOT,LONG,202108312110,2479,202108312125,2476,1,-30,10,-30,-35.21,,,1,4
DCE.cs.HOT,SHORT,202108312110,2827,202108312125,2834,1,-70,40,-90,-105.21,,,1,4
DCE.y.HOT,LONG,202108312110,9082,202108312130,9066,1,-160,40,-340,-265.21,,,1,5
DCE.c.HOT,LONG,202108312110,2479,202108312140,2476,1,-30,12.5,-50,-300.44,,,1,7
DCE.m.HOT,LONG,202108312110,3508,202108312145,3502,1,-60,80,-70,-360.44,,,1,8
DCE.m.HOT,LONG,202108312110,3508,202108312205,3493,1,-150,106.667,-180,-513.16,,,1,12
DCE.y.HOT,LONG,202108312110,9082,202108312205,8996,1,-860,50,-840,-1373.16,,,1,12
DCE.c.HOT,LONG,202108312110,2479,202108312235,2478,2,-20,80,-140,-1397.18,,,1,18
DCE.cs.HOT,SHORT,202108312110,2827,202108312300,2844,1,-170,50,-240,-1569.6,,,1,23
DCE.c.HOT,LONG,202108312110,2479,202109010930,2479,1,0,120,-210,-1571.11,,,1,29
DCE.c.HOT,LONG,202108312130,2474,202109010950,2479,1,50,90,-20,-1522.32,,,5,33
DCE.y.HOT,LONG,202108312110,9082,202109011000,8966,1,-1160,66.6667,-1400,-2683.53,,,1,35
DCE.c.HOT,LONG,202108312145,2475,202109011050,2473,1,-20,80,-40,-2706.04,,,8,42
DCE.m.HOT,LONG,202108312110,3508,202109011055,3488,1,-200,160,-290,-2906.04,,,1,43
DCE.y.HOT,LONG,202108312110,9082,202109011055,8934,1,-1480,100,-2100,-4386.04,,,1,43
DCE.y.HOT,LONG,202108312110,9082,202109011110,8986,1,-960,200,-4200,-5351.27,,,1,46
DCE.m.HOT,LONG,202108312110,3508,202109011130,3497,1,-110,320,-580,-5463.78,,,1,50
DCE.cs.HOT,SHORT,202108312110,2827,202109011335,2860,1,-330,66.6667,-400,-5795.29,,,1,51
DCE.y.HOT,LONG,202108312135,9064,202109011355,8982,1,-820,120,-1360,-6616.8,,,6,55
DCE.m.HOT,LONG,202108312120,3508,202109011405,3493,1,-150,80,-290,-6769.31,,,3,57
DCE.y.HOT,LONG,202108312215,9002,202109011410,8956,1,-460,0,-740,-7230.82,,,14,58
DCE.m.HOT,LONG,202108312150,3496,202109011430,3491,1,-50,40,-170,-7283.33,,,9,62
DCE.cs.HOT,SHORT,202108312110,2827,202109011430,2856,1,-290,100,-600,-7573.33,,,1,62
DCE.m.HOT,LONG,202108312210,3488,202109011445,3491,1,30,120,-90,-7546.35,,,13,65
DCE.y.HOT,LONG,202109011005,8962,202109011445,8932,1,-300,280,-380,-7846.35,,,36,65
DCE.cs.HOT,SHORT,202108312110,2827,202109011445,2856,1,-290,200,-1200,-8136.35,,,1,65
DCE.c.HOT,LONG,202108312240,2480,202109011450,2466,1,-140,20,-170,-8280.37,,,19,66
DCE.y.HOT,LONG,202109011100,8950,202109011500,8950,1,0,400,-260,-8283.09,,,44,68
DCE.m.HOT,LONG,202109011100,3489,202109012110,3492,1,30,110,-20,-8257.11,,,44,70
