code,target,sigprice,gentime,usertag
DCE.c.HOT,5,2480,20210831210500000,
DCE.cs.HOT,-5,2828,20210831210500000,
DCE.m.HOT,5,3507,20210831210500000,
DCE.y.HOT,5,9082,20210831210500000,
DCE.m.HOT,4,3511,20210831211000000,
DCE.cs.HOT,-4,2834,20210831212000000,
DCE.m.HOT,5,3510,20210831212000000,
DCE.cs.HOT,-5,2832,20210831212500000,
DCE.c.HOT,4,2475,20210831214000000,
DCE.c.HOT,5,2474,20210831214500000,
DCE.m.HOT,4,3490,20210831220500000,
DCE.y.HOT,4,8988,20210831220500000,
DCE.m.HOT,5,3492,20210831221000000,
DCE.y.HOT,5,9002,20210831221000000,
DCE.c.HOT,4,2476,20210831225000000,
DCE.c.HOT,5,2479,20210831225500000,
DCE.cs.HOT,-4,2840,20210831230000000,
DCE.c.HOT,4,2475,20210901090500000,
DCE.cs.HOT,-5,2850,20210901090500000,
DCE.cs.HOT,-4,2863,20210901091000000,
DCE.c.HOT,5,2479,20210901091500000,
DCE.cs.HOT,-5,2854,20210901091500000,
DCE.cs.HOT,-4,2857,20210901092000000,
DCE.c.HOT,4,2479,20210901092500000,
DCE.cs.HOT,-5,2855,20210901092500000,
DCE.m.HOT,4,3488,20210901092500000,
DCE.c.HOT,5,2479,20210901093000000,
DCE.m.HOT,5,3486,20210901093000000,
DCE.c.HOT,4,2479,20210901094500000,
DCE.cs.HOT,-4,2863,20210901095000000,
DCE.c.HOT,5,2479,20210901095500000,
DCE.cs.HOT,-5,2864,20210901095500000,
DCE.m.HOT,4,3492,20210901095500000,
DCE.m.HOT,5,3491,20210901100000000,
DCE.c.HOT,4,2472,20210901103500000,
DCE.cs.HOT,-4,2857,20210901103500000,
DCE.m.HOT,4,3489,20210901103500000,
DCE.y.HOT,4,8954,20210901103500000,
DCE.c.HOT,5,2472,20210901104000000,
DCE.cs.HOT,-5,2860,20210901104000000,
DCE.m.HOT,5,3487,20210901104000000,
DCE.y.HOT,5,8942,20210901104000000,
DCE.cs.HOT,-4,2861,20210901105000000,
DCE.cs.HOT,-5,2861,20210901111000000,
DCE.m.HOT,4,3494,20210901111000000,
DCE.m.HOT,5,3497,20210901111500000,
DCE.cs.HOT,-4,2860,20210901113000000,
DCE.y.HOT,4,8982,20210901113000000,
DCE.cs.HOT,-5,2858,20210901133500000,
DCE.y.HOT,5,8976,20210901133500000,
DCE.cs.HOT,-4,2854,20210901135000000,
DCE.y.HOT,4,8982,20210901135000000,
DCE.c.HOT,4,2466,20210901135500000,
DCE.y.HOT,5,8964,20210901135500000,
DCE.c.HOT,5,2466,20210901140000000,
DCE.cs.HOT,-5,2853,20210901140000000,
DCE.m.HOT,4,3494,20210901140500000,
DCE.c.HOT,4,2469,20210901141500000,
DCE.m.HOT,5,3493,20210901141500000,
DCE.c.HOT,5,2469,20210901142000000,
DCE.c.HOT,4,2467,20210901143000000,
DCE.y.HOT,4,8940,20210901143500000,
DCE.c.HOT,5,2467,20210901144000000,
DCE.y.HOT,5,8932,20210901144000000,
DCE.c.HOT,4,2466,20210901144500000,
DCE.c.HOT,5,2464,20210901145000000,
DCE.c.HOT,4,2467,20210901212000000,
DCE.m.HOT,4,3492,20210901212000000,
DCE.y.HOT,4,8942,20210901212000000,
DCE.c.HOT,5,2468,20210901212500000,
DCE.m.HOT,5,3490,20210901212500000,
DCE.y.HOT,5,8926,20210901212500000,
DCE.m.HOT,4,3487,20210901213000000,
DCE.m.HOT,5,3484,20210901213500000,
DCE.m.HOT,4,3482,20210901214500000,
DCE.m.HOT,5,3482,20210901215000000,
DCE.c.HOT,4,2467,20210901215500000,
DCE.m.HOT,4,3479,20210901215500000,
DCE.c.HOT,5,2466,20210901220000000,
DCE.m.HOT,5,3478,20210901220000000,
DCE.y.HOT,4,8900,20210901220000000,
DCE.cs.HOT,-4,2879,20210901220500000,
DCE.y.HOT,5,8904,20210901220500000,
DCE.cs.HOT,-5,2879,20210901221000000,
DCE.y.HOT,4,8902,20210901221500000,
DCE.y.HOT,5,8902,20210901222000000,
DCE.m.HOT,4,3485,20210901224500000,
DCE.m.HOT,5,3481,20210901225000000,
DCE.c.HOT,4,2460,20210902091500000,
DCE.y.HOT,4,8864,20210902091500000,
DCE.c.HOT,5,2459,20210902092000000,
DCE.m.HOT,4,3468,20210902092000000,
DCE.y.HOT,5,8854,20210902092000000,
DCE.c.HOT,3,2461,20210902092500000,
