date,closeprofit,positionprofit,dynbalance,fee
20210901,-9020.00,-950.00,-10054.81,84.81
20210902,-11340.00,-730.00,-12251.27,181.27
20210903,-2670.00,1380.00,-1561.31,271.31
20210906,-630.00,860.00,-137.19,367.19
20210907,1770.00,2390.00,3714.35,445.65
20210908,3980.00,-1160.00,2276.67,543.33
20210909,-1990.00,1850.00,-779.90,639.90
20210910,-4040.00,-4480.00,-9244.83,724.83
20210913,-3620.00,-600.00,-5035.05,815.05
20210914,-3480.00,-70.00,-4471.17,921.17
20210915,-3740.00,1120.00,-3643.48,1023.48
20210916,-410.00,570.00,-951.10,1111.10
20210917,-6770.00,-6490.00,-14476.22,1216.22
20210922,-13010.00,250.00,-14039.60,1279.60
20210923,-3340.00,2840.00,-1881.91,1381.91
20210924,-2970.00,2000.00,-2441.55,1471.55
20210927,-3010.00,-4610.00,-9182.68,1562.68
20210928,-14550.00,7460.00,-8741.83,1651.83
20210929,-12680.00,1160.00,-13268.81,1748.81
20210930,-1380.00,1670.00,-1568.67,1858.67
20211008,16970.00,-800.00,14247.25,1922.75
20211011,20810.00,-2430.00,16364.19,2015.81
20211012,13860.00,-390.00,11344.33,2125.67
20211013,8740.00,1800.00,8314.44,2225.56
20211014,5940.00,360.00,3995.14,2304.86
20211015,9520.00,2100.00,9219.18,2400.82
20211018,13370.00,2370.00,13247.63,2492.37
20211019,17400.00,-1920.00,12877.18,2602.82
20211020,18770.00,6540.00,22604.85,2705.15
20211021,35000.00,-7330.00,24867.65,2802.35
20211022,10900.00,1000.00,9000.66,2899.34
20211025,13900.00,-260.00,10630.70,3009.30
20211026,22710.00,-1620.00,17978.88,3111.12
20211027,18730.00,-2580.00,12936.29,3213.71
20211028,11720.00,1810.00,10227.46,3302.54
