code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,LONG,OPEN,9082,4,,10.04,1
DCE.c.HOT,202108312110,LONG,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.m.HOT,202108312115,LONG,CLOSE,3511,1,,0,2
DCE.y.HOT,202108312115,LONG,OPEN,9068,1,,2.51,2
DCE.c.HOT,202108312115,LONG,CLOSE,2477,1,,0,2
DCE.m.HOT,202108312120,LONG,OPEN,3508,1,,1.51,3
DCE.c.HOT,202108312120,LONG,OPEN,2479,1,,1.21,3
DCE.c.HOT,202108312125,LONG,CLOSE,2476,1,,0,4
DCE.cs.HOT,202108312125,SHORT,CLOSE,2834,1,,0,4
DCE.y.HOT,202108312130,LONG,CLOSE,9066,1,,0,5
DCE.c.HOT,202108312130,LONG,OPEN,2474,1,,1.21,5
DCE.cs.HOT,202108312130,SHORT,OPEN,2832,1,,1.51,5
DCE.y.HOT,202108312135,LONG,OPEN,9064,1,,2.51,6
DCE.y.HOT,202108312145,LONG,CLOSE,9058,1,,0,8
DCE.c.HOT,202108312145,LONG,CLOSE,2475,1,,0,8
DCE.m.HOT,202108312150,LONG,CLOSE,3496,1,,0,9
DCE.y.HOT,202108312150,LONG,OPEN,9034,1,,2.51,9
DCE.c.HOT,202108312150,LONG,OPEN,2473,1,,1.21,9
DCE.m.HOT,202108312155,LONG,OPEN,3497,1,,1.51,10
DCE.cs.HOT,202108312200,SHORT,CLOSE,2830,1,,0,11
DCE.y.HOT,202108312205,LONG,CLOSE,8996,1,,0,12
DCE.cs.HOT,202108312205,SHORT,OPEN,2834,1,,1.51,12
DCE.y.HOT,202108312210,LONG,OPEN,8990,1,,2.51,13
DCE.y.HOT,202108312215,LONG,CLOSE,9002,1,,0,14
DCE.c.HOT,202108312215,LONG,CLOSE,2482,1,,0,14
DCE.c.HOT,202108312220,LONG,OPEN,2481,1,,1.21,15
DCE.m.HOT,202108312225,LONG,CLOSE,3491,1,,0,16
DCE.y.HOT,202108312225,LONG,OPEN,8984,1,,2.51,16
DCE.c.HOT,202108312225,LONG,CLOSE,2479,1,,0,16
DCE.m.HOT,202108312230,LONG,OPEN,3488,1,,1.51,17
DCE.c.HOT,202108312230,LONG,OPEN,2478,1,,1.21,17
DCE.c.HOT,202108312235,LONG,CLOSE,2478,1,,0,18
DCE.m.HOT,202108312240,LONG,CLOSE,3488,1,,0,19
DCE.c.HOT,202108312240,LONG,OPEN,2480,1,,1.21,19
DCE.cs.HOT,202108312240,SHORT,CLOSE,2847,1,,0,19
DCE.m.HOT,202108312245,LONG,OPEN,3487,1,,1.51,20
DCE.cs.HOT,202108312245,SHORT,OPEN,2848,1,,1.51,20
DCE.m.HOT,202108312255,LONG,CLOSE,3491,1,,0,22
DCE.m.HOT,202108312300,LONG,OPEN,3490,1,,1.51,23
DCE.cs.HOT,202108312300,SHORT,CLOSE,2844,1,,0,23
DCE.cs.HOT,202109010905,SHORT,OPEN,2839,1,,1.51,24
DCE.y.HOT,202109010915,LONG,CLOSE,8978,1,,0,26
DCE.y.HOT,202109010925,LONG,OPEN,8972,1,,2.51,28
DCE.c.HOT,202109010930,LONG,CLOSE,2479,1,,0,29
DCE.cs.HOT,202109010930,SHORT,CLOSE,2855,1,,0,29
DCE.c.HOT,202109010935,LONG,OPEN,2479,1,,1.21,30
DCE.cs.HOT,202109010935,SHORT,OPEN,2854,1,,1.51,30
DCE.m.HOT,202109010950,LONG,CLOSE,3490,1,,0,33
