code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.y.HOT,SHORT,202108312110,9082,202108312115,9068,5,700,800,-200,666.3,,,1,2
DCE.c.HOT,SHORT,202108312110,2479,202108312135,2475,5,200,250,-50,853.75,,,1,6
DCE.c.HOT,LONG,202108312135,2475,202108312140,2476,1,10,10,-10,857.7,,,6,7
DCE.c.HOT,LONG,202108312135,2475,202108312145,2475,4,0,50,-80,857.7,,,6,8
DCE.cs.HOT,SHORT,202108312110,2827,202108312200,2830,1,-30,40,-90,821.65,,,1,11
DCE.cs.HOT,SHORT,202108312110,2827,202108312205,2834,4,-280,200,-450,541.65,,,1,12
DCE.m.HOT,LONG,202108312110,3508,202108312220,3490,5,-900,400,-1050,-365.9,,,1,15
DCE.m.HOT,SHORT,202108312220,3490,202108312225,3491,2,-20,40,-60,-390.43,,,15,16
DCE.m.HOT,SHORT,202108312220,3490,202108312300,3490,1,-0,60,-90,-396.47,,,15,23
DCE.cs.HOT,LONG,202108312205,2834,202109010920,2854,3,600,990,-30,202.02,,,12,27
DCE.cs.HOT,LONG,202108312210,2840,202109010920,2854,2,280,540,-40,482.02,,,13,27
DCE.m.HOT,SHORT,202108312235,3489,202109010925,3488,4,40,160,-360,517.49,,,18,28
DCE.m.HOT,SHORT,202109010905,3498,202109010925,3488,1,100,130,0,617.49,,,24,28
DCE.y.HOT,LONG,202108312115,9068,202109010925,8972,5,-4800,400,-6300,-4188.55,,,2,28
DCE.y.HOT,SHORT,202109010925,8972,202109010930,8968,5,200,400,-400,-4002.61,,,28,29
DCE.cs.HOT,SHORT,202109010920,2854,202109010930,2855,3,-30,0,-150,-4045.16,,,27,29
DCE.cs.HOT,SHORT,202109010925,2856,202109010930,2855,1,10,20,-20,-4035.16,,,28,29
DCE.m.HOT,LONG,202109010925,3488,202109010935,3486,4,-80,40,-360,-4122.71,,,28,30
DCE.y.HOT,LONG,202109010930,8968,202109010940,8962,2,-120,0,-280,-4250.26,,,29,31
DCE.y.HOT,LONG,202109010930,8968,202109010945,8960,3,-240,0,-700,-4490.26,,,29,32
DCE.y.HOT,SHORT,202109010945,8960,202109010950,8964,3,-120,180,-240,-4617.79,,,32,33
DCE.y.HOT,LONG,202109010950,8964,202109011000,8966,5,100,100,-800,-4530.34,,,33,35
DCE.c.HOT,SHORT,202108312145,2475,202109011000,2478,2,-60,60,-160,-4602.89,,,8,35
DCE.cs.HOT,LONG,202109010930,2855,202109011000,2863,5,400,600,-50,-4202.89,,,29,35
DCE.c.HOT,SHORT,202108312145,2475,202109011005,2477,3,-60,150,-400,-4262.89,,,8,36
DCE.y.HOT,SHORT,202109011000,8966,202109011010,8964,1,20,100,-120,-4256.49,,,35,37
DCE.c.HOT,LONG,202109011005,2477,202109011010,2476,1,-10,20,-10,-4266.49,,,36,37
DCE.y.HOT,SHORT,202109011000,8966,202109011015,8954,4,480,560,-600,-3786.49,,,35,38
DCE.c.HOT,LONG,202109011005,2477,202109011015,2477,1,0,25,-12.5,-3799.04,,,36,38
DCE.cs.HOT,SHORT,202109011005,2864,202109011015,2864,5,-0,150,-100,-3799.04,,,36,38
DCE.c.HOT,LONG,202109011005,2477,202109011050,2473,3,-120,100,-180,-3929.01,,,36,42
DCE.c.HOT,LONG,202109011035,2475,202109011050,2473,2,-40,40,-80,-3969.01,,,39,42
DCE.cs.HOT,LONG,202109011015,2864,202109011050,2863,5,-50,50,-350,-4025.06,,,38,42
DCE.cs.HOT,SHORT,202109011050,2863,202109011055,2862,1,10,30,0,-4016.57,,,42,43
DCE.c.HOT,SHORT,202109011050,2473,202109011105,2472,5,50,100,-100,-3974.12,,,42,45
DCE.c.HOT,LONG,202109011105,2472,202109011115,2475,1,30,40,-10,-3950.17,,,45,47
DCE.c.HOT,LONG,202109011105,2472,202109011120,2476,3,120,160,-40,-3830.17,,,45,48
DCE.c.HOT,LONG,202109011110,2475,202109011120,2476,1,10,10,-20,-3820.17,,,46,48
DCE.c.HOT,SHORT,202109011120,2476,202109011130,2476,3,-0,30,-30,-3823.8,,,48,50
DCE.cs.HOT,LONG,202109011055,2862,202109011130,2862,4,0,40,-160,-3827.43,,,43,50
DCE.cs.HOT,LONG,202109011100,2861,202109011130,2862,1,10,20,-30,-3817.43,,,44,50
DCE.c.HOT,LONG,202109011130,2476,202109011350,2472,1,-40,10,-60,-3867.4,,,50,54
DCE.c.HOT,LONG,202109011130,2476,202109011440,2468,2,-160,30,-260,-4028.61,,,50,64
DCE.c.HOT,LONG,202109011335,2476,202109011440,2468,2,-160,0,-260,-4188.61,,,51,64
