code,target,sigprice,gentime,usertag
DCE.c.HOT,-5,2480,20210831210500000,
DCE.cs.HOT,-5,2828,20210831210500000,
DCE.m.HOT,5,3507,20210831210500000,
DCE.y.HOT,-5,9082,20210831210500000,
DCE.y.HOT,5,9068,20210831211000000,
DCE.c.HOT,5,2476,20210831213000000,
DCE.c.HOT,4,2476,20210831213500000,
DCE.c.HOT,-5,2475,20210831214000000,
DCE.cs.HOT,-4,2830,20210831215500000,
DCE.cs.HOT,3,2834,20210831220000000,
DCE.cs.HOT,5,2839,20210831220500000,
DCE.m.HOT,-3,3491,20210831221500000,
DCE.m.HOT,-1,3491,20210831222000000,
DCE.m.HOT,-5,3489,20210831223000000,
DCE.m.HOT,-4,3490,20210831225500000,
DCE.m.HOT,-5,3486,20210831230000000,
DCE.cs.HOT,-3,2854,20210901091500000,
DCE.cs.HOT,-4,2857,20210901092000000,
DCE.m.HOT,4,3488,20210901092000000,
DCE.y.HOT,-5,8972,20210901092000000,
DCE.cs.HOT,5,2855,20210901092500000,
DCE.y.HOT,5,8968,20210901092500000,
DCE.m.HOT,-5,3486,20210901093000000,
DCE.y.HOT,3,8962,20210901093500000,
DCE.y.HOT,-3,8958,20210901094000000,
DCE.y.HOT,5,8962,20210901094500000,
DCE.c.HOT,-3,2479,20210901095500000,
DCE.cs.HOT,-0,2864,20210901095500000,
DCE.y.HOT,-5,8966,20210901095500000,
DCE.c.HOT,5,2478,20210901100000000,
DCE.cs.HOT,-5,2863,20210901100000000,
DCE.c.HOT,4,2477,20210901100500000,
DCE.y.HOT,-4,8966,20210901100500000,
DCE.c.HOT,3,2477,20210901101000000,
DCE.cs.HOT,5,2864,20210901101000000,
DCE.y.HOT,5,8954,20210901101000000,
DCE.c.HOT,5,2476,20210901101500000,
DCE.c.HOT,-5,2472,20210901104500000,
DCE.cs.HOT,-1,2862,20210901104500000,
DCE.cs.HOT,4,2861,20210901105000000,
DCE.cs.HOT,5,2860,20210901105500000,
DCE.c.HOT,4,2472,20210901110000000,
DCE.c.HOT,5,2474,20210901110500000,
DCE.c.HOT,4,2474,20210901111000000,
DCE.c.HOT,-3,2476,20210901111500000,
DCE.c.HOT,3,2476,20210901112500000,
DCE.cs.HOT,-3,2861,20210901112500000,
DCE.c.HOT,5,2476,20210901113000000,
DCE.cs.HOT,-5,2860,20210901113000000,
DCE.c.HOT,4,2472,20210901134500000,
DCE.c.HOT,5,2466,20210901135000000,
DCE.c.HOT,-0,2468,20210901143500000,
DCE.c.HOT,-5,2467,20210901144000000,
DCE.c.HOT,-0,2467,20210901211000000,
DCE.c.HOT,-5,2465,20210901211500000,
DCE.m.HOT,-4,3490,20210901212500000,
DCE.c.HOT,5,2467,20210901213000000,
DCE.m.HOT,-5,3487,20210901213000000,
DCE.c.HOT,2,2469,20210901214500000,
DCE.cs.HOT,5,2880,20210901214500000,
DCE.c.HOT,-5,2468,20210901215000000,
DCE.c.HOT,5,2467,20210901215500000,
DCE.cs.HOT,3,2883,20210901224000000,
DCE.cs.HOT,5,2885,20210901224500000,
DCE.m.HOT,5,3476,20210901230000000,
DCE.cs.HOT,1,2873,20210902090500000,
DCE.cs.HOT,5,2871,20210902091000000,
DCE.c.HOT,4,2461,20210902092500000,
DCE.c.HOT,-5,2461,20210902093000000,
DCE.c.HOT,-3,2463,20210902100000000,
DCE.c.HOT,3,2464,20210902100500000,
DCE.c.HOT,5,2467,20210902101000000,
DCE.c.HOT,-5,2475,20210902111500000,
DCE.m.HOT,-0,3484,20210902111500000,
DCE.cs.HOT,2,2888,20210902112500000,
DCE.m.HOT,5,3488,20210902112500000,
DCE.cs.HOT,-5,2889,20210902113000000,
DCE.c.HOT,-2,2484,20210902133500000,
DCE.cs.HOT,1,2889,20210902133500000,
DCE.c.HOT,-5,2488,20210902134000000,
DCE.cs.HOT,-5,2893,20210902134000000,
DCE.m.HOT,4,3487,20210902135000000,
DCE.m.HOT,-1,3485,20210902135500000,
DCE.m.HOT,-5,3489,20210902140000000,
DCE.c.HOT,-1,2495,20210902150000000,
DCE.m.HOT,5,3504,20210902150000000,
DCE.c.HOT,-5,2489,20210902210500000,
DCE.m.HOT,3,3507,20210902210500000,
DCE.m.HOT,4,3506,20210902211000000,
DCE.m.HOT,5,3504,20210902211500000,
DCE.cs.HOT,5,2897,20210902212000000,
DCE.m.HOT,3,3501,20210902224000000,
DCE.m.HOT,5,3502,20210902224500000,
