code,time,direct,action,price,qty,tag,fee,barno
DCE.m.HOT,202108312110,LONG,OPEN,3508,5,,7.55,1
DCE.y.HOT,202108312110,SHORT,OPEN,9082,5,,12.55,1
DCE.c.HOT,202108312110,SHORT,OPEN,2479,5,,6.05,1
DCE.cs.HOT,202108312110,SHORT,OPEN,2827,5,,7.55,1
DCE.y.HOT,202108312115,SHORT,CLOSE,9068,5,,0,2
DCE.y.HOT,202108312115,LONG,OPEN,9068,5,,12.55,2
DCE.c.HOT,202108312135,SHORT,CLOSE,2475,5,,0,6
DCE.c.HOT,202108312135,LONG,OPEN,2475,5,,6.05,6
DCE.c.HOT,202108312140,LONG,CLOSE,2476,1,,0,7
DCE.c.HOT,202108312145,LONG,CLOSE,2475,4,,0,8
DCE.c.HOT,202108312145,SHORT,OPEN,2475,5,,6.05,8
DCE.cs.HOT,202108312200,SHORT,CLOSE,2830,1,,0,11
DCE.cs.HOT,202108312205,SHORT,CLOSE,2834,4,,0,12
DCE.cs.HOT,202108312205,LONG,OPEN,2834,3,,4.53,12
DCE.cs.HOT,202108312210,LONG,OPEN,2840,2,,3.02,13
DCE.m.HOT,202108312220,LONG,CLOSE,3490,5,,0,15
DCE.m.HOT,202108312220,SHORT,OPEN,3490,3,,4.53,15
DCE.m.HOT,202108312225,SHORT,CLOSE,3491,2,,0,16
DCE.m.HOT,202108312235,SHORT,OPEN,3489,4,,6.04,18
DCE.m.HOT,202108312300,SHORT,CLOSE,3490,1,,0,23
DCE.m.HOT,202109010905,SHORT,OPEN,3498,1,,1.51,24
DCE.cs.HOT,202109010920,LONG,CLOSE,2854,3,,0,27
DCE.cs.HOT,202109010920,LONG,CLOSE,2854,2,,0,27
DCE.cs.HOT,202109010920,SHORT,OPEN,2854,3,,4.53,27
DCE.m.HOT,202109010925,SHORT,CLOSE,3488,4,,0,28
DCE.m.HOT,202109010925,SHORT,CLOSE,3488,1,,0,28
DCE.m.HOT,202109010925,LONG,OPEN,3488,4,,6.04,28
DCE.y.HOT,202109010925,LONG,CLOSE,8972,5,,0,28
DCE.y.HOT,202109010925,SHORT,OPEN,8972,5,,12.55,28
DCE.cs.HOT,202109010925,SHORT,OPEN,2856,1,,1.51,28
DCE.y.HOT,202109010930,SHORT,CLOSE,8968,5,,0,29
DCE.y.HOT,202109010930,LONG,OPEN,8968,5,,12.55,29
DCE.cs.HOT,202109010930,SHORT,CLOSE,2855,3,,0,29
DCE.cs.HOT,202109010930,SHORT,CLOSE,2855,1,,0,29
DCE.cs.HOT,202109010930,LONG,OPEN,2855,5,,7.55,29
DCE.m.HOT,202109010935,LONG,CLOSE,3486,4,,0,30
DCE.m.HOT,202109010935,SHORT,OPEN,3486,5,,7.55,30
DCE.y.HOT,202109010940,LONG,CLOSE,8962,2,,0,31
DCE.y.HOT,202109010945,LONG,CLOSE,8960,3,,0,32
DCE.y.HOT,202109010945,SHORT,OPEN,8960,3,,7.53,32
DCE.y.HOT,202109010950,SHORT,CLOSE,8964,3,,0,33
DCE.y.HOT,202109010950,LONG,OPEN,8964,5,,12.55,33
DCE.y.HOT,202109011000,LONG,CLOSE,8966,5,,0,35
DCE.y.HOT,202109011000,SHORT,OPEN,8966,5,,12.55,35
DCE.c.HOT,202109011000,SHORT,CLOSE,2478,2,,0,35
DCE.cs.HOT,202109011000,LONG,CLOSE,2863,5,,0,35
DCE.c.HOT,202109011005,SHORT,CLOSE,2477,3,,0,36
DCE.c.HOT,202109011005,LONG,OPEN,2477,5,,6.05,36
DCE.cs.HOT,202109011005,SHORT,OPEN,2864,5,,7.55,36
DCE.y.HOT,202109011010,SHORT,CLOSE,8964,1,,0,37
DCE.c.HOT,202109011010,LONG,CLOSE,2476,1,,0,37
DCE.y.HOT,202109011015,SHORT,CLOSE,8954,4,,0,38
DCE.y.HOT,202109011015,LONG,OPEN,8954,5,,12.55,38
DCE.c.HOT,202109011015,LONG,CLOSE,2477,1,,0,38
DCE.cs.HOT,202109011015,SHORT,CLOSE,2864,5,,0,38
DCE.cs.HOT,202109011015,LONG,OPEN,2864,5,,7.55,38
DCE.c.HOT,202109011035,LONG,OPEN,2475,2,,2.42,39
DCE.c.HOT,202109011050,LONG,CLOSE,2473,3,,0,42
DCE.c.HOT,202109011050,LONG,CLOSE,2473,2,,0,42
DCE.c.HOT,202109011050,SHORT,OPEN,2473,5,,6.05,42
DCE.cs.HOT,202109011050,LONG,CLOSE,2863,5,,0,42
DCE.cs.HOT,202109011050,SHORT,OPEN,2863,1,,1.51,42
DCE.cs.HOT,202109011055,SHORT,CLOSE,2862,1,,0,43
DCE.cs.HOT,202109011055,LONG,OPEN,2862,4,,6.04,43
DCE.cs.HOT,202109011100,LONG,OPEN,2861,1,,1.51,44
DCE.c.HOT,202109011105,SHORT,CLOSE,2472,5,,0,45
DCE.c.HOT,202109011105,LONG,OPEN,2472,4,,4.84,45
DCE.c.HOT,202109011110,LONG,OPEN,2475,1,,1.21,46
DCE.c.HOT,202109011115,LONG,CLOSE,2475,1,,0,47
DCE.c.HOT,202109011120,LONG,CLOSE,2476,3,,0,48
DCE.c.HOT,202109011120,LONG,CLOSE,2476,1,,0,48
DCE.c.HOT,202109011120,SHORT,OPEN,2476,3,,3.63,48
DCE.c.HOT,202109011130,SHORT,CLOSE,2476,3,,0,50
DCE.c.HOT,202109011130,LONG,OPEN,2476,3,,3.63,50
