date,closeprofit,positionprofit,dynbalance,fee
20210901,-3930.00,-940.00,-5114.66,244.66
20210902,-4130.00,-4340.00,-8839.17,369.17
20210903,-5420.00,9180.00,3331.32,428.68
20210906,-4480.00,8780.00,3755.23,544.77
20210907,-7770.00,12870.00,4334.43,765.57
20210908,-9160.00,11950.00,1902.66,887.34
20210909,-10040.00,10650.00,-413.28,1023.28
20210910,4910.00,-680.00,3060.61,1169.39
20210913,220.00,-1680.00,-2891.89,1431.89
20210914,-6180.00,2400.00,-5444.56,1664.56
20210915,-10680.00,5250.00,-7316.93,1886.93
20210916,-390.00,360.00,-2101.58,2071.58
20210917,-4230.00,-6600.00,-13141.62,2311.62
20210922,-6580.00,2770.00,-6304.91,2494.91
20210923,-7040.00,13930.00,4230.77,2659.23
20210924,-8140.00,18210.00,7305.03,2764.97
20210927,-6670.00,9100.00,-409.60,2839.60
20210928,-9440.00,12720.00,345.27,2934.73
20210929,-10540.00,13700.00,43.09,3116.91
20210930,-8000.00,22490.00,11235.36,3254.64
20211008,-3380.00,38540.00,31842.78,3317.22
20211011,-8230.00,45920.00,34326.85,3363.15
20211012,-5500.00,39710.00,30650.15,3559.85
20211013,-1540.00,38210.00,33017.10,3652.90
